Timestamp,State,Mode,Probability,Confidence,InputIdleTime
2026-02-12 22:43:01.464,Active,Interactive,0.988,0.95,0.08
2026-02-12 22:43:01.496,Active,Interactive,0.989,0.95,0.11
2026-02-12 22:43:01.528,Active,Interactive,0.99,0.95,0.14
2026-02-12 22:43:01.557,Active,Interactive,0.991,0.95,0.17
2026-02-12 22:43:01.588,Active,Interactive,0.992,0.95,0.2
2026-02-12 22:43:01.619,Active,Interactive,0.994,0.95,0.23
2026-02-12 22:43:01.651,Active,Interactive,0.995,0.95,0.26
2026-02-12 22:43:01.680,Active,Interactive,0.993,0.95,0.29
2026-02-12 22:43:01.733,Active,Interactive,0.992,0.95,0.34
2026-02-12 22:43:01.760,Active,Interactive,0.99,0.95,0.37
2026-02-12 22:43:01.811,Active,Interactive,0.988,0.95,0.42
2026-02-12 22:43:01.839,Active,Interactive,0.987,0.95,0.45
2026-02-12 22:43:01.870,Active,Interactive,0.985,0.95,0.48
2026-02-12 22:43:01.900,Active,Interactive,0.984,0.95,0.51
2026-02-12 22:43:01.930,Active,Interactive,0.985,0.95,0.0
2026-02-12 22:43:01.972,Active,Interactive,0.986,0.95,0.0
2026-02-12 22:43:01.992,Active,Interactive,0.987,0.95,0.0
2026-02-12 22:43:02.038,Active,Interactive,0.988,0.95,0.0
2026-02-12 22:43:02.069,Active,Interactive,0.99,0.95,0.0
2026-02-12 22:43:02.102,Active,Interactive,0.992,0.95,0.0
2026-02-12 22:43:02.131,Active,Interactive,0.994,0.95,0.0
2026-02-12 22:43:02.161,Active,Interactive,0.996,0.95,0.0
2026-02-12 22:43:02.192,Active,Interactive,0.998,0.95,0.0
2026-02-12 22:43:02.222,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:43:02.278,Active,Interactive,1.0,0.95,0.05
2026-02-12 22:43:02.300,Active,Interactive,1.0,0.95,0.07
2026-02-12 22:43:02.340,Active,Interactive,0.999,0.95,0.11
2026-02-12 22:43:02.362,Active,Interactive,0.999,0.95,0.13
2026-02-12 22:43:02.393,Active,Interactive,0.998,0.95,0.16
2026-02-12 22:43:02.424,Active,Interactive,0.997,0.95,0.2
2026-02-12 22:43:02.455,Active,Interactive,0.996,0.95,0.23
2026-02-12 22:43:02.488,Active,Interactive,0.995,0.95,0.26
2026-02-12 22:43:02.518,Active,Interactive,0.993,0.95,0.29
2026-02-12 22:43:02.581,Active,Interactive,0.992,0.95,0.35
2026-02-12 22:43:02.615,Active,Interactive,0.99,0.95,0.39
2026-02-12 22:43:02.644,Active,Interactive,0.988,0.95,0.42
